key	en	tr	es	de	fr	ja	zh	pt
field.cidr	Block	CIDR bloğu	Bloque CIDR	CIDR-Block	Bloc CIDR	CIDRブロック	CIDR 块	Bloco CIDR
field.country	Country	Ülke	País	Land	Pays	国	国家	País
field.dns	DNS servers	DNS sunucuları	Servidores DNS	DNS-Server	Serveurs DNS	DNSサーバ	DNS 服务器	Servidores DNS
field.dnsbl	DNS blacklist	DNS kara listesi	Lista negra DNS	DNS-Blackliste	Liste noire DNS	DNSブラックリスト	DNS 黑名单	Lista negra DNS
field.dnsbl.clean	not listed in any of the 5 zones	5 bölgenin hiçbirinde listelenmemiş	no aparece en ninguna de las 5 zonas	in keiner der 5 Zonen gelistet	absent des 5 zones	5ゾーンのいずれにも未掲載	未列于 5 个区域中的任何一个	não consta em nenhuma das 5 zonas
field.eol	End-of-life version	Süresi dolmuş sürüm	Versión obsoleta	Version am Ende des Lebenszyklus	Version en fin de vie	サポート終了バージョン	已停止支持版本	Versão em fim de vida
field.findings	Findings	Bulgular	Hallazgos	Befunde	Constats	所見	发现	Achados
field.fingerprint	SHA-256 fingerprint	SHA-256 parmak izi	Huella SHA-256	SHA-256-Fingerabdruck	Empreinte SHA-256	SHA-256フィンガープリント	SHA-256 指纹	Impressão digital SHA-256
field.flags	Flags	İşaretler	Indicadores	Markierungen	Indicateurs	フラグ	标记	Marcadores
field.frequency	Frequency	Frekans	Frecuencia	Frequenz	Fréquence	周波数	频率	Frequência
field.gateway	Gateway	Ağ geçidi	Puerta de enlace	Gateway	Passerelle	ゲートウェイ	网关	Gateway
field.input	Input	Girdi	Entrada	Eingabe	Entrée	入力	输入	Entrada
field.installed	Installed	Yüklendi	Instalada	Installiert	Installée	インストール日	安装时间	Instalada
field.installer	Installed by	Yükleyen	Instalada por	Installiert von	Installée par	インストーラ	安装来源	Instalada por
field.installer.unknown	installer of record unavailable	kaynak yükleyici bilgisi yok	instalador no disponible	Installationsquelle unbekannt	source d'installation indisponible	インストーラ情報なし	安装来源不可用	instalador indisponível
field.ip	IP address	IP adresi	Dirección IP	IP-Adresse	Adresse IP	IPアドレス	IP 地址	Endereço IP
field.issuer	Issuer	Yayımlayan	Emisor	Aussteller	Émetteur	発行者	颁发者	Emissor
field.latency	Response time	Yanıt süresi	Tiempo de respuesta	Antwortzeit	Temps de réponse	応答時間	响应时间	Tempo de resposta
field.link_speed	Link speed	Bağlantı hızı	Velocidad del enlace	Verbindungsrate	Débit de liaison	リンク速度	链路速度	Velocidade da ligação
field.location	Location	Konum	Ubicación	Ort	Lieu	場所	位置	Localização
field.metered	Metered connection	Ücretli bağlantı	Conexión de uso medido	Getaktete Verbindung	Connexion facturée	従量制接続	计费连接	Ligação medida
field.model	Model	Model	Modelo	Modell	Modèle	機種	型号	Modelo
field.mtu	MTU	MTU	MTU	MTU	MTU	MTU	MTU	MTU
field.network_type	Network type	Şebeke türü	Tipo de red	Netztyp	Type de réseau	ネットワーク種別	网络类型	Tipo de rede
field.note	Note	Not	Nota	Hinweis	Note	注記	备注	Nota
field.operator	Operator	Operatör	Operador	Betreiber	Opérateur	キャリア	运营商	Operador
field.org	Organisation	Kuruluş	Organización	Organisation	Organisation	組織	组织	Organização
field.ownership	Ownership	Sahiplik	Propiedad	Eigentum	Propriété	所有者	所有权	Propriedade
field.passive_dns	Passive DNS	Pasif DNS	DNS pasivo	Passives DNS	DNS passif	パッシブDNS	被动DNS	DNS passivo
field.permissions	Requested permissions	İstenen izinler	Permisos solicitados	Angeforderte Berechtigungen	Permissions demandées	要求権限	申请的权限	Permissões pedidas
field.permissions.count	{count} permissions	{count} izin	{count} permisos	{count} Berechtigungen	{count} permissions	権限 {count} 件	{count} 项权限	{count} permissões
field.permissions.sensitive	Sensitive	Sensitive	Sensibles	Sensibel	Sensibles	機微	敏感	Sensíveis
field.public_ip	Public egress IP	Herkese açık çıkış IP	IP pública de salida	Öffentliche Ausgangs-IP	IP publique de sortie	グローバルIP	公网出口 IP	IP público de saída
field.registered	Registered	Kayıt tarihi	Registrado	Registriert	Enregistré	登録日	注册日期	Registado
field.reports	reports	şikayet	reportes	Meldungen	signalements	報告	举报	reportes
field.reputation	reputation	itibar	reputación	Reputation	réputation	評価	信誉	reputação
field.resolved	Resolved	Çözümlendi	Resuelto	Aufgelöst	Résolu	解決结果	解析结果	Resolvido
field.reverse_dns	Reverse DNS	Ters DNS	DNS inverso	Reverse-DNS	DNS inverse	逆引きDNS	反向DNS	DNS reverso
field.roaming	Roaming	Dolaşım	Itinerancia	Roaming	Itinérance	ローミング	漫游	 roaming
field.routes	Routes	Yönlendirmeler	Rutas	Routen	Routes	ルート	路由	Rotas
field.search_domains	Search domains	Arama alan adları	Dominios de búsqueda	Suchdomänen	Domaines de recherche	検索ドメイン	搜索域	Domínios de pesquisa
field.security_patch	Security patch	Güvenlik yaması	Parche de seguridad	Sicherheitspatch	Correctif de sécurité	セキュリティパッチ	安全补丁	Patch de segurança
field.server	Server	Sunucu	Servidor	Server	Serveur	サーバ	服务器	Servidor
field.service	Service	Servis	Servicio	Dienst	Service	サービス	服务	Serviço
field.service.unknown	no known service	bilinen servis değil	servicio desconocido	kein bekannter Dienst	service inconnu	既知のサービスなし	未知服务	serviço desconhecido
field.session_down	Session download	Oturum indirmesi	Descarga de la sesión	Sitzungs-Download	Téléchargement de la session	セッション受信	会话下载	Download da sessão
field.session_up	Session upload	Oturum yüklemesi	Subida de la sesión	Sitzungs-Upload	Envoi de la session	セッション送信	会话上传	Upload da sessão
field.signal	Signal	Sinyal	Señal	Signal	Signal	信号強度	信号	Signal
field.signer	Signing certificate	İmza sertifikası	Certificado de firma	Signierzertifikat	Certificat de signature	署名証明書	签名证书	Certificado de assinatura
field.signer.unavailable	not readable	okunamıyor	no se puede leer	nicht lesbar	illisible	読み取れません	不可读取	ilegível
field.signer_hash	Certificate SHA-256	Sertifika SHA-256	SHA-256 del certificado	Zertifikats-SHA-256	SHA-256 du certificat	証明書SHA-256	证书 SHA-256	SHA-256 do certificado
field.signer_issuer	Certificate issuer	Sertifika yayımlayıcısı	Emisor del certificado	Zertifikatsaussteller	Émetteur du certificat	証明書発行者	证书颁发者	Emissor do certificado
field.sources	Sources	Yanıt veren kaynaklar	Fuentes	Quellen	Sources	情報源	来源	Fontes
field.ssid	SSID	SSID	SSID	SSID	SSID	SSID	SSID	SSID
field.status_line	Status line	Durum satırı	Línea de estado	Statuszeile	Ligne de statut	ステータスライン	状态行	Linha de estado
field.subject	Subject	Konu	Sujeto	Betreff	Sujet	サブジェクト	主体	Assunto
field.target_sdk	Target SDK	Hedef SDK	SDK objetivo	Ziel-SDK	SDK cible	ターゲットSDK	目标 SDK	SDK alvo
field.tls	TLS session	TLS oturumu	Sesión TLS	TLS-Sitzung	Session TLS	TLSセッション	TLS 会话	Sessão TLS
field.total_down	Total download	Toplam indirme	Descarga total	Gesamt-Download	Téléchargement total	総受信	总下载	Download total
field.total_up	Total upload	Toplam yükleme	Subida total	Gesamt-Upload	Envoi total	総送信	总上传	Upload total
field.transport	Transport	Taşıyıcı	Transporte	Transport	Transport	トランスポート	传输	Transporte
field.type	Type	Tür	Tipo	Typ	Type	種別	类型	Tipo
field.uid	UID	UID	UID	UID	UID	UID	UID	UID
field.updated	Updated	Güncellendi	Actualizada	Aktualisiert	Mise à jour	更新日	更新时间	Atualizada
field.uptime	Uptime	Çalışma süresi	Tiempo activo	Betriebszeit	Temps de fonctionnement	稼働時間	运行时间	Tempo ativo
field.validated	Internet validated	İnternet doğrulandı	Internet validado	Internet geprüft	Internet validé	インターネット検証済み	互联网已验证	Internet validado
field.validity	Validity	Geçerlilik	Validez	Gültigkeit	Validité	有効期間	有效期	Validade
field.version	Version	Sürüm	Versión	Version	Version	バージョン	版本	Versão
field.virustotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal
field.vpn	VPN	VPN	VPN	VPN	VPN	VPN	VPN	VPN
filter.active	Active	Etkin	Activas	Aktiv	Actives	アクティブ	活跃	Ativas
filter.all	All	Tümü	Todas	Alle	Toutes	すべて	全部	Todas
filter.system	System	Sistem	Sistema	System	Système	システム	系统	Sistema
filter.user	User	Kullanıcı	Usuario	Benutzer	Utilisateur	ユーザー	用户	Utilizador
flag.datacenter	datacenter	veri merkezi	centro de datos	Rechenzentrum	centre de données	データセンター	数据中心	centro de dados
flag.mobile	mobile network	mobil şebeke	red móvil	Mobilfunknetz	réseau mobile	モバイル回線	移动网络	rede móvel
flag.none	none	yok	ninguno	keine	aucun	なし	无	nenhum
flag.proxy	proxy / VPN	proxy / VPN	proxy / VPN	Proxy / VPN	proxy / VPN	プロキシ / VPN	代理 / VPN	proxy / VPN
graph.download	download	indirme	descarga	Download	téléchargement	受信	下载	download
graph.no_edges	Android does not tell an unrooted app which application opened which socket, so NetLurker draws no application ↔ destination edges here.	Android, root'suz bir uygulamaya hangi uygulamanın hangi soketi açtığını söylemez; bu yüzden NetLurker burada uygulama ↔ hedef çizgisi çizmez.	Android no dice a una app sin root qué aplicación abrió cada socket, así que NetLurker no dibuja aristas aplicación ↔ destino.	Android teilt einer App ohne Root nicht mit, welche Anwendung welchen Socket öffnete; NetLurker zeichnet daher keine Kanten Anwendung ↔ Ziel.	Android n'indique pas à une application sans root quelle application a ouvert quel socket ; NetLurker ne dessine donc aucune arête application ↔ destination.	Androidはrootなしのアプリにどのアプリがどのソケットを開いたか教えないため、アプリ↔接続先のエッジは描画しません。	Android 不会告知无 root 应用哪个应用打开了哪个套接字，因此此处不绘制应用↔目标连线。	O Android não diz a uma app sem root que aplicação abriu cada socket, pelo que o NetLurker não desenha arestas aplicação ↔ destino.
graph.peak	peak {value}	tepe değer {value}	pico {value}	Spitzenwert {value}	pic {value}	ピーク {value}	峰值 {value}	pico {value}
graph.upload	upload	yükleme	subida	Upload	envoi	送信	上传	upload
graph.what_is_shown	What is shown instead: how much each application moved, and where the investigated destinations are. Its two charts come from real counters and real lookups.	Bunun yerine gösterilen: her uygulamanın ne kadar veri taşıdığı ve incelenen hedeflerin nerede olduğu. İki grafik gerçek sayaçlardan ve gerçek sorgulardan gelir.	En su lugar se muestra: cuánto movió cada aplicación y dónde están los destinos investigados. Ambos gráficos provienen de contadores y consultas reales.	Stattdessen: wie viel jede Anwendung bewegt hat und wo die untersuchten Ziele liegen. Beide Diagramme stammen aus echten Zählern und Abfragen.	À la place : le volume déplacé par chaque application et la localisation des destinations examinées. Les deux graphiques proviennent de compteurs et de requêtes réels.	代わりに表示するのは各アプリの通信量と調査済み接続先の所在地です。両方のグラフは実際のカウンタと照会結果に基づきます。	替代展示的是：每个应用的数据量，以及已调查目标的位置。两个图表均来自真实计数器和真实查询。	Em vez disso mostra: quanto cada aplicação moveu e onde estão os destinos investigados. Ambos os gráficos vêm de contadores e consultas reais.
history.no_traffic_yet	No application traffic has been measured yet.	Henüz uygulama trafiği ölçülmedi.	Aún no se ha medido tráfico de aplicaciones.	Es wurde noch kein Anwendungsdatenverkehr gemessen.	Aucun trafic applicatif mesuré pour l'instant.	アプリ通信はまだ測定されていません。	尚未测量到应用流量。	Ainda não foi medido tráfego de aplicações.
history.window	last 2 minutes	son 2 dakika	últimos 2 minutos	letzte 2 Minuten	2 dernières minutes	直近2分	最近 2 分钟	últimos 2 minutos
interfaces.no_address	no address	adres yok	sin dirección	keine Adresse	aucune adresse	アドレスなし	无地址	sem endereço
interfaces.none	The framework reported no network interface.	Çerçeve hiçbir ağ arabirimi bildirmedi.	El sistema no reportó ninguna interfaz de red.	Das Framework meldete keine Netzwerkschnittstelle.	Le système n'a signalé aucune interface réseau.	ネットワークインターフェースが報告されませんでした。	框架未报告任何网络接口。	O sistema não reportou nenhuma interface de rede.
investigate.add	Add	Ekle	Añadir	Hinzufügen	Ajouter	追加	添加	Adicionar
investigate.empty.detail	Add an address, a hostname or host:port to investigate. Everything shown comes from a real lookup; nothing is generated locally.	İncelemek için bir adres, ana makine adı veya host:port ekleyin. Gösterilen her şey gerçek bir sorgudan gelir; hiçbir şey yerel olarak üretilmez.	Añada una dirección, un nombre o host:puerto para investigar. Todo proviene de consultas reales; nada se genera localmente.	Fügen Sie eine Adresse, einen Hostnamen oder Host:Port hinzu. Alles stammt aus echten Abfragen; nichts wird lokal erzeugt.	Ajoutez une adresse, un nom d'hôte ou hôte:port. Tout provient de requêtes réelles ; rien n'est généré localement.	調査するアドレス、ホスト名、または host:port を追加してください。表示内容はすべて実際の照会結果で、ローカル生成はありません。	添加要调查的地址、主机名或 host:port。所有内容均来自真实查询，绝不本地生成。	Adicione um endereço, um nome ou host:porta. Tudo provém de consultas reais; nada é gerado localmente.
investigate.empty.title	Nothing investigated yet	Henüz bir şey incelenmedi	Nada investigado aún	Noch nichts untersucht	Rien d'examiné pour l'instant	まだ調査されていません	尚未调查任何目标	Ainda nada investigado
investigate.hint	On this device NetLurker cannot list the sockets of other applications — Android blocks that without root. This tab investigates what you give it and never invents a connection.	Bu cihazda NetLurker diğer uygulamaların soketlerini listeleyemez — Android root olmadan bunu engeller. Bu sekme yalnızca sizin verdiğinizi inceler ve asla bağlantı uydurmaz.	En este dispositivo NetLurker no puede listar los sockets de otras aplicaciones: Android lo bloquea sin root. Esta pestaña investiga lo que usted indique y nunca inventa una conexión.	Auf diesem Gerät kann NetLurker die Sockets anderer Anwendungen nicht auflisten — Android blockiert das ohne Root. Dieser Tab untersucht nur, was Sie angeben, und erfindet nie eine Verbindung.	Sur cet appareil NetLurker ne peut pas lister les sockets des autres applications — Android le bloque sans root. Cet onglet examine ce que vous indiquez et n'invente jamais de connexion.	この端末ではNetLurkerは他アプリのソケットを一覧できません（rootなしではAndroidが拒否）。このタブは指定された対象のみを調査し、接続を捏造しません。	在此设备上 NetLurker 无法列出其他应用的套接字——无 root 时 Android 会阻止。此标签仅调查你指定的目标，绝不虚构连接。	Neste dispositivo o NetLurker não lista os sockets de outras aplicações — o Android bloqueia sem root. Este separador investiga o que indicar e nunca inventa ligações.
investigate.placeholder	IP or hostname[:port]	IP veya ana makine[:port]	IP o nombre[:puerto]	IP oder Hostname[:Port]	IP ou nom d'hôte[:port]	IPまたはホスト名[:ポート]	IP 或主机名[:端口]	IP ou nome[:porta]
kpi.active_now	active now	şu an etkin	activas ahora	jetzt aktiv	actives maintenant	現在アクティブ	当前活跃	ativas agora
kpi.active_apps	Active applications	Etkin uygulamalar	Aplicaciones activas	Aktive Anwendungen	Applications actives	アクティブなアプリ	活跃应用	Aplicações ativas
kpi.anomalies	Anomalies	Anomaliler	Anomalías	Anomalien	Anomalies	異常	异常	Anomalias
kpi.apps	Applications	Uygulamalar	Aplicaciones	Anwendungen	Applications	アプリ	应用	Aplicações
kpi.baselines	Baselines	Taban çizgileri	Líneas base	Basislinien	Références	ベースライン	基线	Linhas base
kpi.destinations	Destinations	Hedefler	Destinos	Ziele	Destinations	接続先	目标	Destinos
kpi.download	Download	İndirme	Descarga	Download	Téléchargement	受信	下载	Download
kpi.session	Session	Oturum	Sesión	Sitzung	Session	セッション	会话	Sessão
kpi.suspicious	suspicious	şüpheli	sospechosos	verdächtig	suspects	不審	可疑	suspeitos
kpi.uptime	Uptime	Çalışma süresi	Tiempo activo	Betriebszeit	Temps de fonctionnement	稼働時間	运行时间	Tempo ativo
kpi.upload	Upload	Yükleme	Subida	Upload	Envoi	送信	上传	Upload
link.none	No active network reported by the framework.	Çerçeve etkin bir ağ bildirmedi.	El sistema no reporta ninguna red activa.	Vom Framework wurde kein aktives Netzwerk gemeldet.	Aucun réseau actif signalé par le système.	アクティブなネットワークが報告されていません。	框架未报告活动网络。	O sistema não reportou nenhuma rede ativa.
permission.body	Android only reveals the name of the Wi-Fi network to apps that hold the location permission. NetLurker uses it for that one field and nothing else. Denying it leaves the SSID hidden; every other panel keeps working.	Android, Wi-Fi ağının adını yalnızca konum iznine sahip uygulamalara gösterir. NetLurker bunu yalnızca bu alan için kullanır. Reddederseniz SSID gizli kalır; diğer tüm paneller çalışmaya devam eder.	Android solo revela el nombre de la red Wi-Fi a las apps con permiso de ubicación. NetLurker lo usa solo para ese campo. Si lo deniega, el SSID queda oculto; el resto sigue funcionando.	Android zeigt den WLAN-Namen nur Apps mit Standortberechtigung. NetLurker nutzt sie nur für dieses Feld. Ohne sie bleibt die SSID verborgen; alles andere funktioniert weiter.	Android ne révèle le nom du réseau Wi-Fi qu'aux applications disposant de la permission de localisation. NetLurker ne l'utilise que pour ce champ. Sans elle, le SSID reste masqué ; tout le reste fonctionne.	Androidは位置情報権限を持つアプリにのみWi-Fi名を開示します。NetLurkerはこの項目にのみ使用します。拒否してもSSIDが非表示になるだけで、他は動作します。	Android 仅向拥有位置权限的应用显示 Wi-Fi 名称。NetLurker 仅用于该字段。拒绝后 SSID 保持隐藏，其他功能不受影响。	O Android só revela o nome da rede Wi-Fi a apps com permissão de localização. O NetLurker usa-a apenas para esse campo. Se recusar, o SSID fica oculto; o resto continua a funcionar.
permission.title	One permission, one field	Bir izin, bir alan	Un permiso, un campo	Eine Berechtigung, ein Feld	Une permission, un champ	1つの権限、1つの項目	一个权限，一个字段	Uma permissão, um campo
privacy.body	Network data is processed on this device. There is no telemetry, no analytics, no advertising and no account. External services are queried only for the addresses you investigate, and only the services you switch on.	Ağ verileri bu cihazda işlenir. Telemetri, analitik, reklam ve hesap yoktur. Harici hizmetler yalnızca incelediğiniz adresler için ve yalnızca açtığınız hizmetler için sorgulanır.	Los datos de red se procesan en este dispositivo. Sin telemetría, analítica, publicidad ni cuenta. Los servicios externos solo se consultan para las direcciones que usted investiga y solo los que active.	Netzwerkdaten werden auf diesem Gerät verarbeitet. Keine Telemetrie, keine Analyse, keine Werbung, kein Konto. Externe Dienste werden nur für die von Ihnen untersuchten Adressen und nur bei Aktivierung abgefragt.	Les données réseau sont traitées sur cet appareil. Aucune télémétrie, analyse, publicité ni compte. Les services externes ne sont interrogés que pour les adresses que vous examinez, et seulement s'ils sont activés.	ネットワークデータはこの端末で処理されます。テレメトリ・分析・広告・アカウントはありません。外部サービスは調査対象のアドレスに対して、有効化したものだけ照会されます。	网络数据仅在本机处理。无遥测、无分析、无广告、无账户。仅对你调查的地址、且仅对已启用的服务发起查询。	Os dados de rede são processados neste dispositivo. Sem telemetria, analítica, publicidade ou conta. Os serviços externos só são consultados para os endereços que investigar e apenas se os ativar.
public_ip.disabled	turned off	kapalı	desactivado	deaktiviert	désactivé	オフ	已关闭	desativado
report.title	Analysis report	Analiz raporu	Informe de análisis	Analysebericht	Rapport d'analyse	分析レポート	分析报告	Relatório de análise
section.ai	AI assistant	AI asistanı	Asistente IA	KI-Assistent	Assistant IA	AIアシスタント	AI 助手	Assistente de IA
section.anomalies	Anomalies	Anomaliler	Anomalías	Anomalien	Anomalies	異常	异常	Anomalias
section.banner	HTTP banner	HTTP banner	Banner HTTP	HTTP-Banner	Bannière HTTP	HTTPバナー	HTTP 横幅	Banner HTTP
section.cache	Lookup cache	Sorgu önbelleği	Caché de consultas	Abfrage-Cache	Cache de requêtes	照会キャッシュ	查询缓存	Cache de consultas
section.cellular	Cellular	Mobil şebeke	Red móvil	Mobilfunk	Réseau mobile	モバイル回線	移动网络	Rede móvel
section.certificate	TLS certificate	TLS sertifikası	Certificado TLS	TLS-Zertifikat	Certificat TLS	TLS証明書	TLS 证书	Certificado TLS
section.device	Device	Cihaz	Dispositivo	Gerät	Appareil	端末	设备	Dispositivo
section.geolocation	Geolocation	Konum	Geolocalización	Geolokalisierung	Géolocalisation	地理位置	地理位置	Geolocalização
section.graph	Network graph	Ağ grafiği	Grafo de red	Netzdiagramm	Graphe réseau	ネットワークグラフ	网络图	Grafo de rede
section.interfaces	Interfaces	Arabirimler	Interfaces	Schnittstellen	Interfaces	インターフェース	接口	Interfaces
section.keys	API keys	API anahtarları	Claves API	API-Schlüssel	Clés API	APIキー	API 密钥	Chaves API
section.link	Active network	Etkin ağ	Red activa	Aktives Netzwerk	Réseau actif	アクティブなネットワーク	活动网络	Rede ativa
section.most_risky	Highest risk	En yüksek risk	Mayor riesgo	Höchstes Risiko	Risque le plus élevé	リスク上位	风险最高	Maior risco
section.privacy	Privacy	Gizlilik	Privacidad	Datenschutz	Confidentialité	プライバシー	隐私	Privacidade
section.rate_history	Throughput	Verim	Débito	Durchsatz	Débit	スループット	吞吐量	Débito
section.refresh	Sampling	Örnekleme	Muestreo	Abtastintervall	Échantillonnage	サンプリング	采样	Amostragem
section.risk_distribution	Risk distribution	Risk dağılımı	Distribución de riesgo	Risikoverteilung	Répartition du risque	リスク分布	风险分布	Distribuição de risco
section.session_counters	Session counters	Oturum sayaçları	Contadores de sesión	Sitzungszähler	Compteurs de session	セッションカウンタ	会话计数器	Contadores da sessão
section.sources	External sources	Harici kaynaklar	Fuentes externas	Externe Quellen	Sources externes	外部情報源	外部来源	Fontes externas
section.threat	Threat intelligence	Tehdit istihbaratı	Inteligencia de amenazas	Bedrohungsinformationen	Renseignement sur les menaces	脅威インテリジェンス	威胁情报	Inteligência de ameaças
section.top_apps	Top applications	En çok kullanan uygulamalar	Aplicaciones principales	Top-Anwendungen	Applications principales	上位アプリ	流量最高应用	Aplicações principais
section.top_countries	Countries	Ülkeler	Países	Länder	Pays	国	国家	Países
section.top_organisations	Organisations	Kuruluşlar	Organizaciones	Organisationen	Organisations	組織	组织	Organizações
section.top_talkers	Top talkers	En çok konuşanlar	Mayor tráfico	Top-Talkers	Plus gros débits	上位通信アプリ	流量最高	Maiores conversadores
section.verdict	Verdict	Karar	Veredicto	Urteil	Verdict	判定	判定	Veredito
section.wifi	Wi-Fi	Wi-Fi	Wi-Fi	WLAN	Wi-Fi	Wi-Fi	Wi-Fi	Wi-Fi
settings.abuse_key	AbuseIPDB key	AbuseIPDB anahtarı	Clave de AbuseIPDB	AbuseIPDB-Schlüssel	Clé AbuseIPDB	AbuseIPDBキー	AbuseIPDB 密钥	Chave AbuseIPDB
settings.ai.detail	With a key the evidence is sent to this endpoint and the model's answer is shown. Without a key the local rule engine answers and says so.	Anahtar girilirse kanıtlar bu uç noktaya gönderilir ve modelin yanıtı gösterilir. Anahtar yoksa yerel kural motoru yanıt verir ve bunu belirtir.	Con clave, la evidencia se envía a este endpoint y se muestra la respuesta del modelo. Sin clave responde el motor local y lo indica.	Mit Schlüssel werden die Belege an diesen Endpunkt gesendet und die Antwort des Modells angezeigt. Ohne Schlüssel antwortet die lokale Engine und sagt das.	Avec une clé, les preuves sont envoyées à ce point d'entrée et la réponse du modèle s'affiche. Sans clé, le moteur local répond et le signale.	キーがあれば証拠がこのエンドポイントに送信されモデルの回答が表示されます。なければローカルルールエンジンが回答しその旨を示します。	设置密钥后，证据将发送至该端点并显示模型回答；未设置时由本地规则引擎回答并明确说明。	Com chave, as evidências são enviadas para este endpoint e a resposta do modelo é mostrada. Sem chave, o motor local responde e indica-o.
settings.ai.endpoint	Endpoint	Uç nokta	Endpoint	Endpunkt	Point d'entrée	エンドポイント	端点	Endpoint
settings.ai.key	API key	API anahtarı	Clave API	API-Schlüssel	Clé API	APIキー	API 密钥	Chave API
settings.ai.local	No key set: the local rule engine writes the reports.	Anahtar yok: raporları yerel kural motoru yazar.	Sin clave: el motor local escribe los informes.	Kein Schlüssel: die lokale Engine schreibt die Berichte.	Pas de clé : le moteur local rédige les rapports.	キー未設定: ローカルルールエンジンがレポートを作成します。	未设置密钥：由本地规则引擎撰写报告。	Sem chave: o motor local escreve os relatórios.
settings.ai.model	Model	Model	Modelo	Modell	Modèle	モデル	模型	Modelo
settings.ai.ready	Key set: reports come from the configured model.	Anahtar girildi: raporlar yapılandırılmış modelden gelir.	Clave configurada: los informes vienen del modelo configurado.	Schlüssel gesetzt: Berichte stammen vom konfigurierten Modell.	Clé définie : les rapports proviennent du modèle configuré.	キー設定済み: レポートは設定済みモデルから取得します。	已设置密钥：报告来自所配置的模型。	Chave definida: os relatórios vêm do modelo configurado.
settings.banner	HTTP banner probe	HTTP banner sondası	Sondeo de banner HTTP	HTTP-Banner-Prüfung	Sonde de bannière HTTP	HTTPバナー調査	HTTP 横幅探测	Sonda de banner HTTP
settings.banner.detail	One HEAD request to the target; reads the status line and Server header.	Hedefe tek bir HEAD isteği; durum satırını ve Server başlığını okur.	Una petición HEAD al destino; lee la línea de estado y la cabecera Server.	Ein HEAD-Request an das Ziel; liest Statuszeile und Server-Header.	Une requête HEAD vers la cible ; lit la ligne de statut et l'en-tête Server.	対象へHEAD要求を1回送信し、ステータスラインとServerヘッダを読みます。	向目标发送一次 HEAD 请求，读取状态行和 Server 头。	Um pedido HEAD ao destino; lê a linha de estado e o cabeçalho Server.
settings.cache.detail	Only successful answers are cached, with the time they were fetched. Failures are never stored, so a network problem cannot become a permanent verdict.	Yalnızca başarılı yanıtlar, alındıkları zamanla birlikte önbelleğe alınır. Başarısızlıklar asla saklanmaz; böylece bir ağ sorunu kalıcı bir karara dönüşemez.	Solo se almacenan las respuestas correctas, con su hora. Los fallos nunca se guardan, así un problema de red no se convierte en un veredicto permanente.	Nur erfolgreiche Antworten werden mit Zeitstempel gespeichert. Fehler werden nie gespeichert, damit ein Netzwerkproblem kein dauerhaftes Urteil wird.	Seules les réponses réussies sont mises en cache, avec leur horodatage. Les échecs ne sont jamais stockés : un problème réseau ne devient pas un verdict permanent.	成功した回答のみ取得時刻付きで保存されます。失敗は保存されないため、通信障害が恒久的な判定になることはありません。	仅缓存成功应答及其获取时间。失败从不存储，网络问题不会变成永久结论。	Apenas respostas bem-sucedidas são guardadas, com a hora. As falhas nunca são guardadas, para que um problema de rede não vire veredicto permanente.
settings.geo	IP geolocation (ip-api.com)	IP konumu (ip-api.com)	Geolocalización IP (ip-api.com)	IP-Geolokalisierung (ip-api.com)	Géolocalisation IP (ip-api.com)	IP地理位置 (ip-api.com)	IP 地理位置（ip-api.com）	Geolocalização IP (ip-api.com)
settings.geo.detail	Sends only the IP addresses you investigate. The free tier is plain HTTP.	Yalnızca incelediğiniz IP adreslerini gönderir. Ücretsiz katman düz HTTP'dir.	Envía solo las direcciones IP que investiga. El nivel gratuito es HTTP plano.	Sendet nur die untersuchten IP-Adressen. Die Gratisstufe ist normales HTTP.	N'envoie que les adresses IP examinées. L'offre gratuite est en HTTP simple.	調査対象のIPアドレスのみ送信します。無料枠は平文HTTPです。	仅发送你调查的 IP 地址。免费接口为明文 HTTP。	Envia apenas os endereços IP investigados. O nível gratuito é HTTP simples.
settings.key.optional	optional — leave empty to skip	isteğe bağlı — atlamak için boş bırakın	opcional — déjelo vacío para omitir	optional — leer lassen zum Überspringen	facultatif — laissez vide pour ignorer	任意 — 空欄で省略	可选 — 留空即跳过	opcional — deixe vazio para ignorar
settings.notify	Anomaly notifications	Anomali bildirimleri	Notificaciones de anomalías	Anomalie-Benachrichtigungen	Notifications d'anomalies	異常通知	异常通知	Notificações de anomalias
settings.notify.detail	Notify when an application moves far above its own baseline. Without the notification permission the alert still appears in the app.	Bir uygulama kendi taban çizgisinin çok üzerine çıktığında bildir. Bildirim izni olmasa da uyarı uygulama içinde görünür.	Avise cuando una aplicación supera mucho su propia línea base. Sin permiso, la alerta sigue apareciendo en la app.	Benachrichtigt, wenn eine Anwendung weit über ihrer Basislinie liegt. Ohne Berechtigung erscheint die Warnung weiterhin in der App.	Avertit lorsqu'une application dépasse largement sa référence. Sans permission, l'alerte s'affiche quand même dans l'application.	アプリが自身のベースラインを大きく超えると通知します。権限がなくてもアプリ内に警告は表示されます。	当某应用远超自身基线时通知。即使没有通知权限，应用内仍会显示告警。	Avisa quando uma aplicação excede muito a sua linha base. Sem permissão, o alerta continua a aparecer na app.
